2024-02-03 00:20:07,377 INFO    StreamThr :34521 [internal.py:wandb_internal():86] W&B internal server running at pid: 34521, started at: 2024-02-03 00:20:07.377383
2024-02-03 00:20:07,379 DEBUG   HandlerThread:34521 [handler.py:handle_request():146] handle_request: status
2024-02-03 00:20:07,381 INFO    WriterThread:34521 [datastore.py:open_for_write():87] open: /home/terry/ECS189G_Winter_2022_Source_Code_Template/wandb/run-20240203_002007-npzfzn4u/run-npzfzn4u.wandb
2024-02-03 00:20:07,381 DEBUG   SenderThread:34521 [sender.py:send():382] send: header
2024-02-03 00:20:07,381 DEBUG   SenderThread:34521 [sender.py:send():382] send: run
2024-02-03 00:20:07,495 ERROR   SenderThread:34521 [internal_api.py:execute():373] 500 response executing GraphQL.
2024-02-03 00:20:07,495 ERROR   SenderThread:34521 [internal_api.py:execute():374] {"errors":[{"message":"An internal error occurred. Please contact support.","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2024-02-03 00:20:08,691 INFO    SenderThread:34521 [dir_watcher.py:__init__():211] watching files in: /home/terry/ECS189G_Winter_2022_Source_Code_Template/wandb/run-20240203_002007-npzfzn4u/files
2024-02-03 00:20:08,691 INFO    SenderThread:34521 [sender.py:_start_run_threads():1136] run started: npzfzn4u with start time 1706919607.377196
2024-02-03 00:20:08,697 DEBUG   HandlerThread:34521 [handler.py:handle_request():146] handle_request: check_version
2024-02-03 00:20:08,697 DEBUG   SenderThread:34521 [sender.py:send_request():409] send_request: check_version
2024-02-03 00:20:08,770 DEBUG   HandlerThread:34521 [handler.py:handle_request():146] handle_request: run_start
2024-02-03 00:20:09,390 DEBUG   HandlerThread:34521 [system_info.py:__init__():27] System info init
2024-02-03 00:20:09,390 DEBUG   HandlerThread:34521 [system_info.py:__init__():42] System info init done
2024-02-03 00:20:09,390 INFO    HandlerThread:34521 [system_monitor.py:start():194] Starting system monitor
2024-02-03 00:20:09,390 INFO    SystemMonitor:34521 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-03 00:20:09,391 INFO    HandlerThread:34521 [system_monitor.py:probe():214] Collecting system info
2024-02-03 00:20:09,391 INFO    SystemMonitor:34521 [interfaces.py:start():190] Started cpu monitoring
2024-02-03 00:20:09,392 INFO    SystemMonitor:34521 [interfaces.py:start():190] Started disk monitoring
2024-02-03 00:20:09,393 INFO    SystemMonitor:34521 [interfaces.py:start():190] Started gpu monitoring
2024-02-03 00:20:09,394 INFO    SystemMonitor:34521 [interfaces.py:start():190] Started memory monitoring
2024-02-03 00:20:09,395 INFO    SystemMonitor:34521 [interfaces.py:start():190] Started network monitoring
2024-02-03 00:20:09,419 DEBUG   HandlerThread:34521 [system_info.py:probe():151] Probing system
2024-02-03 00:20:09,421 DEBUG   HandlerThread:34521 [gitlib.py:_init_repo():56] git repository is invalid
2024-02-03 00:20:09,421 DEBUG   HandlerThread:34521 [system_info.py:probe():199] Probing system done
